yyyy-mm-dd,team1,team2,score1,score2
2016-12-18,CLOUD9,HELLRAISERS,13,16
2016-12-18,IMMORTALS,G2,17,19
2016-12-18,MOUSESPORTS,IMMORTALS,16,3
2016-12-18,DIGNITAS,G2,16,9
2016-12-18,OPTIC,HELLRAISERS,16,10
2016-12-17,FAZE,IMMORTALS,16,11
2016-12-17,NIP,OPTIC,9,16
2016-12-17,CLOUD9,RENEGADES,16,9
2016-12-17,GODSENT,HELLRAISERS,16,11
2016-12-16,FAZE,OPTIC,16,11
2016-12-16,GODSENT,DIGNITAS,16,11
2016-12-16,G2,ENVY,16,12
2016-12-16,NIP,HELLRAISERS,17,19
2016-12-15,G2,GODSENT,11,16
2016-12-15,MOUSESPORTS,HELLRAISERS,6,16
2016-12-15,NIP,RENEGADES,16,9
2016-12-15,FAZE,CLOUD9,19,17
2016-12-15,ENVY,IMMORTALS,11,16
2016-12-12,OPTIC,ASTRALIS,0,2
2016-12-11,ASTRALIS,SK,2,0
2016-12-11,ENVY,OPTIC,0,2
2016-12-11,DIGNITAS,SK,1,2
2016-12-11,FAZE,OPTIC,1,2
2016-12-10,SK,IMMORTALS,2,0
2016-12-10,OPTIC,CLOUD9,2,1
2016-12-10,DIGNITAS,ENVY,3,16
2016-12-10,IMMORTALS,ENVY,19,22
2016-12-09,SK,DIGNITAS,7,16
2016-12-09,ASTRALIS,FAZE,16,3
2016-12-09,FAZE,CLOUD9,16,6
2016-12-09,ASTRALIS,OPTIC,16,7
2016-12-04,CLOUD9,IMMORTALS,0,2
2016-12-03,ASTRALIS,OPTIC,1,2
2016-12-03,OPTIC,FAZE,2,0
2016-12-02,SK,ASTRALIS,0,2
2016-12-01,VIRTUS.PRO,FAZE,1,2
2016-12-01,MOUSESPORTS,OPTIC,0,2
2016-11-30,ASTRALIS,NIP,2,1
2016-11-30,DIGNITAS,SK,1,2
2016-11-27,MOUSESPORTS,NIP,16,7
2016-11-27,NIP,MOUSESPORTS,16,9
2016-11-27,ENVY,NIP,13,16
2016-11-27,NIP,ENVY,12,16
2016-11-27,GODSENT,ASTRALIS,7,16
2016-11-27,ASTRALIS,GODSENT,16,3
2016-11-26,GODSENT,FAZE,16,7
2016-11-26,FAZE,GODSENT,16,8
2016-11-26,GODSENT,GAMBIT,1,2
2016-11-26,ASTRALIS,G2,16,2
2016-11-26,G2,ASTRALIS,17,19
2016-11-25,GAMBIT,CLOUD9,2,1
2016-11-25,DIGNITAS,MOUSESPORTS,11,16
2016-11-25,MOUSESPORTS,DIGNITAS,16,9
2016-11-25,FNATIC,G2,9,16
2016-11-25,G2,FNATIC,16,9
2016-11-25,NIP,G2,16,9
2016-11-25,G2,NIP,16,4
2016-11-25,CLOUD9,OPTIC,2,0
2016-11-25,NIP,ASTRALIS,11,16
2016-11-25,ASTRALIS,NIP,16,9
2016-11-24,DIGNITAS,G2,16,6
2016-11-24,G2,DIGNITAS,14,16
2016-11-24,VIRTUS.PRO,ASTRALIS,11,16
2016-11-24,ASTRALIS,VIRTUS.PRO,16,4
2016-11-24,OPTIC,GAMBIT,10,16
2016-11-24,MOUSESPORTS,G2,10,16
2016-11-24,G2,MOUSESPORTS,12,16
2016-11-24,MOUSESPORTS,ENVY,14,16
2016-11-24,ENVY,MOUSESPORTS,16,14
2016-11-24,FAZE,NIP,11,16
2016-11-24,NIP,FAZE,4,16
2016-11-23,FAZE,G2,16,2
2016-11-23,G2,FAZE,20,22
2016-11-23,VIRTUS.PRO,ENVY,16,14
2016-11-23,ENVY,VIRTUS.PRO,16,5
2016-11-23,ASTRALIS,FNATIC,19,15
2016-11-23,FNATIC,ASTRALIS,8,16
2016-11-23,VIRTUS.PRO,G2,2,16
2016-11-23,G2,VIRTUS.PRO,16,7
2016-11-22,GODSENT,VIRTUS.PRO,11,16
2016-11-22,VIRTUS.PRO,GODSENT,5,16
2016-11-21,SK,NIP,1,2
2016-11-20,FAZE,NIP,1,2
2016-11-20,ASTRALIS,SK,0,2
2016-11-19,IMMORTALS,NIP,0,2
2016-11-19,G2,SK,1,2
2016-11-19,FNATIC,OPTIC,0,2
2016-11-19,OPTIC,ENVY,2,1
2016-11-19,FNATIC,DIGNITAS,3,16
2016-11-19,ENVY,DIGNITAS,12,16
2016-11-18,HEROIC,CLOUD9,12,16
2016-11-18,SK,NIP,16,9
2016-11-18,MOUSESPORTS,FAZE,7,16
2016-11-18,FAZE,SK,16,11
2016-11-18,CLOUD9,MOUSESPORTS,16,10
2016-11-17,HEROIC,NIP,8,16
2016-11-17,CLOUD9,SK,10,16
2016-11-17,HEROIC,MOUSESPORTS,16,11
2016-11-17,FAZE,NIP,16,5
2016-11-17,CLOUD9,NIP,14,16
2016-11-17,MOUSESPORTS,SK,10,16
2016-11-17,HEROIC,FAZE,3,16
2016-11-17,MOUSESPORTS,NIP,8,16
2016-11-17,HEROIC,SK,16,13
2016-11-17,CLOUD9,FAZE,17,19
2016-11-17,LIQUID,G2,17,19
2016-11-17,NATUS VINCERE,IMMORTALS,15,19
2016-11-17,ASTRALIS,TYLOO,16,9
2016-11-17,IMMORTALS,ASTRALIS,15,19
2016-11-16,TYLOO,LIQUID,6,16
2016-11-16,NATUS VINCERE,G2,16,10
2016-11-16,IMMORTALS,LIQUID,16,14
2016-11-16,NATUS VINCERE,ASTRALIS,9,16
2016-11-16,TYLOO,G2,3,16
2016-11-16,ASTRALIS,LIQUID,16,1
2016-11-16,IMMORTALS,G2,16,4
2016-11-16,NATUS VINCERE,TYLOO,16,14
2016-11-16,ASTRALIS,G2,12,16
2016-11-16,IMMORTALS,TYLOO,19,17
2016-11-16,NATUS VINCERE,LIQUID,6,16
2016-11-14,GODSENT,FNATIC,16,11
2016-11-14,FNATIC,GODSENT,6,16
2016-11-14,G2,OPTIC,1,2
2016-11-14,CLOUD9,IMMORTALS,1,2
2016-11-13,OPTIC,CLOUD9,4,16
2016-11-13,CLOUD9,OPTIC,16,11
2016-11-13,VIRTUS.PRO,MOUSESPORTS,16,8
2016-11-13,MOUSESPORTS,VIRTUS.PRO,9,16
2016-11-12,CLOUD9,TYLOO,16,0
